Date, MA, Close
12/29/89, 0.0, 353.4
1/2/90, 0.0, 359.69
2/1/90, 0.0, 328.79
3/1/90, 0.0, 332.74
4/2/90, 0.0, 338.7
5/1/90, 0.0, 332.25
6/1/90, 0.0, 363.16
7/2/90, 0.0, 359.54
8/1/90, 0.0, 355.52
9/4/90, 0.0, 323.09
10/1/90, 333.97, 314.94
11/1/90, 333.29, 307.02
12/3/90, 333.12, 324.1
1/2/91, 333.52, 326.45
2/1/91, 337.14, 343.05
3/1/91, 338.54, 370.47
4/1/91, 340.28, 371.3
5/1/91, 343.64, 380.29
6/3/91, 348.5, 388.06
7/1/91, 356.68, 377.92
8/1/91, 365.82, 387.12
9/3/91, 372.39, 392.15
10/1/91, 378.61, 389.2
11/1/91, 381.74, 391.32
12/2/91, 386.74, 381.4
1/2/92, 390.1, 417.26
2/3/92, 393.83, 409.53
3/2/92, 395.22, 412.45
4/1/92, 399.6, 404.23
5/1/92, 402.35, 412.53
6/1/92, 403.62, 417.3
7/1/92, 407.26, 412.88
8/3/92, 409.42, 425.09
9/1/92, 413.67, 416.07
10/1/92, 413.83, 416.29
11/2/92, 416.09, 422.75
12/1/92, 418.39, 430.78
1/4/93, 421.9, 435.38
2/1/93, 424.74, 442.52
3/1/93, 428.38, 442.01
4/1/93, 431.58, 450.3
5/3/93, 434.18, 442.46
6/1/93, 437.83, 453.83
7/1/93, 440.86, 449.02
8/2/93, 445.35, 450.15
9/1/93, 448.11, 463.15
10/1/93, 451.32, 461.28
11/1/93, 453.62, 469.1
12/1/93, 455.93, 461.89
1/3/94, 458.92, 465.44
2/1/94, 461.62, 479.62
3/1/94, 461.17, 464.44
4/4/94, 461.21, 438.92
5/2/94, 462.05, 453.02
6/1/94, 460.12, 457.63
7/1/94, 460.05, 446.2
8/1/94, 460.82, 461.01
9/1/94, 460.91, 473.17
10/3/94, 461.5, 461.74
11/1/94, 458.71, 468.42
12/1/94, 457.92, 448.92
1/3/95, 460.39, 459.11
2/1/95, 464.04, 470.4
3/1/95, 468.46, 485.65
4/3/95, 475.5, 501.85
5/1/95, 483.01, 514.26
6/1/95, 489.94, 533.49
7/3/95, 499.88, 547.09
8/1/95, 508.83, 559.64
9/1/95, 521.9, 563.84
10/2/95, 534.12, 581.72
11/1/95, 547.62, 584.22
12/1/95, 560.47, 606.98
1/2/96, 574.0, 620.73
2/1/96, 586.58, 638.46
3/1/96, 597.78, 644.37
4/1/96, 608.73, 653.73
5/1/96, 619.43, 654.58
6/3/96, 630.31, 667.68
7/1/96, 635.86, 675.88
8/1/96, 642.91, 650.02
9/3/96, 651.11, 654.72
10/1/96, 660.04, 689.08
11/1/96, 672.14, 703.77
12/2/96, 682.17, 756.56
1/2/97, 696.24, 737.01
2/3/97, 709.9, 786.73
3/3/97, 718.7, 795.31
4/1/97, 731.77, 759.64
5/1/97, 752.61, 798.53
6/2/97, 775.92, 846.36
7/1/97, 802.62, 891.03
8/1/97, 822.04, 947.14
9/2/97, 841.07, 927.58
10/1/97, 858.45, 955.41
11/3/97, 875.38, 938.99
12/1/97, 893.34, 974.77
1/2/98, 915.66, 975.04
2/2/98, 940.46, 1001.27
3/2/98, 965.8, 1047.7
4/1/98, 988.46, 1108.15
5/1/98, 1002.11, 1121.0
6/1/98, 1025.55, 1090.98
7/1/98, 1042.89, 1148.56
8/3/98, 1047.16, 1112.44
9/1/98, 1053.32, 994.26
10/1/98, 1066.14, 986.39
11/2/98, 1084.48, 1111.6
12/1/98, 1102.47, 1175.28
1/4/99, 1120.25, 1228.1
2/1/99, 1132.91, 1273.0
3/1/99, 1152.47, 1236.16
4/1/99, 1172.6, 1293.72
5/3/99, 1190.72, 1354.63
6/1/99, 1232.26, 1294.26
7/1/99, 1263.43, 1380.96
8/2/99, 1285.61, 1328.05
9/1/99, 1297.51, 1331.07
10/1/99, 1310.88, 1282.81
11/1/99, 1321.81, 1354.12
12/1/99, 1344.9, 1397.72
1/3/00, 1355.71, 1455.22
2/1/00, 1358.84, 1409.28
3/1/00, 1378.51, 1379.19
4/3/00, 1386.48, 1505.97
5/1/00, 1395.67, 1468.25
6/1/00, 1409.09, 1448.81
7/3/00, 1423.9, 1469.54
8/1/00, 1439.38, 1438.1
9/1/00, 1444.14, 1520.77
10/2/00, 1440.15, 1436.23
11/1/00, 1432.2, 1421.22
12/1/00, 1427.59, 1315.23
1/2/01, 1414.33, 1283.27
2/1/01, 1393.08, 1373.47
3/1/01, 1367.05, 1241.23
4/2/01, 1346.54, 1145.87
5/1/01, 1329.04, 1266.44
6/1/01, 1299.71, 1260.67
7/2/01, 1277.18, 1236.72
8/1/01, 1247.6, 1215.93
9/4/01, 1220.2, 1132.94
10/1/01, 1194.15, 1038.55
11/1/01, 1171.49, 1084.1
12/3/01, 1162.3, 1129.9
1/2/02, 1159.29, 1154.67
2/1/02, 1145.02, 1122.2
3/1/02, 1134.18, 1131.78
4/1/02, 1119.43, 1146.54
5/1/02, 1105.02, 1086.46
6/3/02, 1090.64, 1040.68
7/1/02, 1077.71, 968.65
8/1/02, 1063.34, 884.66
9/3/02, 1030.92, 878.02
10/1/02, 1004.69, 847.91
11/1/02, 985.3, 900.96
12/2/02, 962.61, 934.53
1/2/03, 933.44, 909.03
2/3/03, 909.87, 860.32
3/3/03, 887.97, 834.81
4/1/03, 880.68, 858.48
5/1/03, 885.88, 916.3
6/2/03, 891.72, 967.0
7/1/03, 909.22, 982.32
8/1/03, 921.45, 980.15
9/2/03, 927.42, 1021.99
10/1/03, 944.5, 1018.22
11/3/03, 964.75, 1059.02
12/1/03, 991.83, 1070.12
1/2/04, 1020.13, 1108.48
2/2/04, 1042.93, 1135.26
3/1/04, 1059.19, 1155.97
4/1/04, 1072.47, 1132.17
5/3/04, 1085.51, 1117.49
6/1/04, 1098.79, 1121.2
7/1/04, 1109.36, 1128.94
8/2/04, 1114.72, 1106.62
9/1/04, 1120.36, 1105.91
10/1/04, 1122.18, 1131.5
11/1/04, 1126.45, 1130.51
12/1/04, 1133.15, 1191.37
1/3/05, 1138.66, 1202.08
2/1/05, 1148.29, 1189.41
3/1/05, 1154.28, 1210.41
4/1/05, 1155.88, 1172.92
5/2/05, 1164.86, 1162.16
6/1/05, 1173.57, 1202.22
7/1/05, 1185.53, 1194.44
8/1/05, 1194.54, 1235.35
9/1/05, 1200.04, 1221.59
10/3/05, 1199.55, 1226.7
11/1/05, 1206.37, 1202.76
12/1/05, 1210.84, 1264.67
1/3/06, 1220.79, 1268.8
2/1/06, 1233.17, 1282.46
3/1/06, 1243.5, 1291.24
4/3/06, 1255.43, 1297.81
5/1/06, 1259.02, 1305.19
6/1/06, 1264.01, 1285.71
7/3/06, 1268.79, 1280.19
8/1/06, 1278.48, 1270.92
9/1/06, 1287.11, 1311.01
10/2/06, 1300.08, 1331.32
11/1/06, 1312.13, 1367.81
12/1/06, 1325.9, 1396.71
1/3/07, 1340.23, 1416.6
2/1/07, 1349.85, 1445.94
3/1/07, 1364.93, 1403.17
4/2/07, 1386.15, 1424.55
5/1/07, 1411.54, 1486.3
6/1/07, 1431.5, 1536.34
7/2/07, 1443.44, 1519.43
8/1/07, 1453.04, 1465.81
9/4/07, 1465.66, 1489.42
10/1/07, 1478.76, 1547.04
11/1/07, 1483.05, 1508.44
12/3/07, 1489.21, 1472.42
1/2/08, 1484.98, 1447.16
2/1/08, 1469.8, 1395.42
3/3/08, 1449.01, 1331.34
4/1/08, 1437.24, 1370.18
5/1/08, 1431.75, 1409.34
6/2/08, 1412.35, 1385.67
7/1/08, 1386.41, 1284.91
8/1/08, 1359.76, 1260.31
9/2/08, 1328.28, 1277.58
10/1/08, 1278.32, 1161.06
11/3/08, 1230.09, 966.3
12/1/08, 1187.35, 816.21
1/2/09, 1137.67, 931.8
2/2/09, 1072.62, 825.44
3/2/09, 1012.36, 700.82
4/1/09, 971.65, 811.08
5/1/09, 936.82, 877.52
6/1/09, 900.47, 942.87
7/1/09, 882.58, 923.33
8/3/09, 887.77, 1002.63
9/1/09, 903.85, 998.04
10/1/09, 917.15, 1029.85
11/2/09, 944.12, 1042.88
12/1/09, 982.12, 1108.86
1/4/10, 1009.72, 1132.99
2/1/10, 1032.89, 1089.19
3/1/10, 1057.92, 1115.71
4/1/10, 1084.66, 1178.1
5/3/10, 1094.85, 1202.26
6/1/10, 1095.86, 1070.71
7/1/10, 1100.31, 1027.37
8/2/10, 1101.63, 1125.86
9/1/10, 1106.18, 1080.29
10/1/10, 1113.0, 1146.24
11/1/10, 1123.67, 1184.38
12/1/10, 1138.98, 1206.07
1/3/11, 1150.65, 1271.87
2/1/11, 1164.7, 1307.59
3/1/11, 1188.35, 1306.33
4/1/11, 1221.64, 1332.41
5/2/11, 1246.0, 1361.22
6/1/11, 1273.13, 1314.55
7/1/11, 1288.23, 1339.67
8/1/11, 1291.8, 1286.94
9/1/11, 1286.88, 1204.42
10/3/11, 1286.45, 1099.23
11/1/11, 1282.53, 1218.28
12/1/11, 1275.57, 1244.58
1/3/12, 1274.23, 1277.06
2/1/12, 1274.44, 1324.09
3/1/12, 1280.77, 1374.09
4/2/12, 1288.49, 1419.04
5/1/12, 1290.3, 1405.82
6/1/12, 1304.62, 1278.04
7/2/12, 1329.41, 1365.51
8/1/12, 1344.74, 1375.32
9/4/12, 1364.11, 1404.94
10/1/12, 1379.57, 1444.49
11/1/12, 1389.95, 1427.59
12/3/12, 1396.0, 1409.46
1/2/13, 1404.96, 1462.42
2/1/13, 1416.64, 1513.17
3/1/13, 1442.52, 1518.2
4/1/13, 1466.06, 1562.17
5/1/13, 1491.21, 1582.7
6/3/13, 1511.18, 1640.42
7/1/13, 1535.68, 1614.96
8/1/13, 1557.76, 1706.87
9/3/13, 1584.3, 1639.77
10/1/13, 1617.34, 1695.0
11/1/13, 1648.11, 1761.64
12/2/13, 1681.47, 1800.9
1/2/14, 1702.81, 1831.98
2/3/14, 1729.0, 1741.89
3/3/14, 1753.16, 1845.73
4/1/14, 1780.93, 1885.52
5/1/14, 1804.71, 1883.68
6/2/14, 1837.44, 1924.97
7/1/14, 1862.35, 1973.32
8/1/14, 1887.03, 1925.15
9/2/14, 1903.68, 2002.28
10/1/14, 1920.65, 1946.16
11/3/14, 1949.15, 2017.81
12/1/14, 1969.09, 2053.44
1/2/15, 1981.36, 2058.2
2/2/15, 2003.41, 2020.85
3/2/15, 2017.84, 2117.39
4/1/15, 2030.37, 2059.69
5/1/15, 2048.04, 2108.29
6/1/15, 2054.02, 2111.73
7/1/15, 2067.17, 2077.42
8/3/15, 2062.59, 2098.04
9/1/15, 2047.83, 1913.85
10/1/15, 2049.88, 1923.82
11/2/15, 2058.42, 2104.05
12/1/15, 2052.37, 2102.63
1/4/16, 2039.6, 2012.66
2/1/16, 2024.27, 1939.38
3/1/16, 2019.51, 1978.35
4/1/16, 2019.73, 2072.78
5/2/16, 2019.04, 2081.43
6/1/16, 2031.71, 2099.33
7/1/16, 2057.06, 2102.95
8/1/16, 2066.22, 2170.84
9/1/16, 2075.01, 2170.86
10/3/16, 2083.23, 2161.2
11/1/16, 2109.09, 2111.72
12/1/16, 2139.75, 2191.08
1/3/17, 2161.66, 2257.83
2/1/17, 2191.49, 2279.55
3/1/17, 2218.07, 2395.96
4/3/17, 2246.6, 2358.84
5/1/17, 2270.42, 2388.33
6/1/17, 2295.67, 2430.06
7/3/17, 2325.87, 2429.01
8/1/17, 2360.42, 2476.35
9/1/17, 2392.48, 2476.55
10/2/17, 2426.12, 2529.12
11/1/17, 2462.99, 2579.36
12/1/17, 2493.99, 2642.22
1/2/18, 2540.1, 2695.81
2/1/18, 2573.06, 2821.98
3/1/18, 2595.97, 2677.67
4/2/18, 2618.43, 2581.88
5/1/18, 2641.93, 2654.8
6/1/18, 2666.6, 2734.62
7/2/18, 2696.29, 2726.71
8/1/18, 2728.92, 2813.36
9/4/18, 2755.56, 2896.72
10/1/18, 2759.37, 2924.59
11/1/18, 2753.01, 2740.37
12/3/18, 2732.31, 2790.37
1/2/19, 2738.63, 2510.03
2/1/19, 2752.28, 2706.53
3/1/19, 2765.19, 2803.69
4/1/19, 2787.94, 2867.19
5/1/19, 2781.51, 2923.73
6/3/19, 2785.54, 2744.45
7/1/19, 2792.18, 2964.33
8/1/19, 2813.65, 2953.56
9/3/19, 2835.31, 2906.27
10/1/19, 2888.38, 2940.25
11/1/19, 2932.07, 3066.91
12/2/19, 2976.69, 3113.87
1/2/20, 3015.81, 3257.85
2/3/20, 3016.65, 3248.92
3/2/20, 2999.9, 3090.23
